student_id,age,gender,attendance_rate,avg_test_score,assignments_submitted_pct,family_income_level,parental_education,study_hours_per_week,extracurricular,previous_semester_gpa,lms_login_frequency_per_week,dropout_risk
STU1049,24,Male,81.5,84.77,72.08,Medium,None,13.69,Yes,3.45,4,0
STU1050,20,Male,78.9,48.79,100.0,Medium,Secondary,11.51,No,1.71,5,0
STU1051,18,Female,58.15,75.66,61.29,Low,Graduate,16.58,No,3.14,6,0
STU1052,22,Female,68.89,50.29,64.0,Low,Secondary,10.99,No,3.27,0,1
STU1053,22,Male,89.41,78.96,90.93,High,None,10.22,Yes,2.76,8,0
STU1054,20,Female,69.64,59.65,79.15,Low,Graduate,13.57,No,1.66,8,1
STU1055,22,Female,56.15,58.94,66.52,Low,Graduate,3.7,Yes,2.12,4,1
STU1056,18,Male,100.0,65.98,94.21,Medium,Graduate,13.08,Yes,2.1,5,0
STU1057,18,Male,56.05,40.82,74.18,Low,Secondary,8.48,No,3.02,5,1
STU1058,20,Male,100.0,82.5,74.04,Medium,Postgraduate,3.35,No,2.26,5,0
STU1059,24,Female,73.39,88.46,79.61,High,None,12.13,No,2.39,6,0
STU1060,23,Male,76.73,58.52,40.32,Medium,Graduate,7.71,No,2.12,3,0
STU1061,25,Female,67.92,74.44,43.13,High,None,1.93,No,1.35,2,0
STU1062,24,Male,89.74,79.02,96.74,High,Secondary,5.64,Yes,4.0,6,0
STU1063,21,Male,56.4,63.36,61.46,Low,Graduate,18.45,Yes,2.92,0,1
STU1064,18,Male,50.4,45.05,72.34,Medium,Graduate,7.22,No,3.78,6,1
STU1065,21,Female,100.0,93.69,100.0,Medium,None,11.61,No,1.71,7,0
STU1066,24,Female,65.94,57.93,73.24,Medium,Secondary,4.58,No,3.81,2,1
STU1067,25,Male,89.19,54.04,70.8,Low,Secondary,20.5,No,2.28,9,0
STU1068,25,Male,61.72,94.5,92.92,High,Secondary,10.35,No,3.02,3,0
STU1069,17,Male,88.63,75.98,63.03,Medium,Graduate,6.58,No,3.39,3,1
STU1070,25,Female,100.0,69.63,99.06,Medium,Secondary,14.43,Yes,3.81,3,0
STU1071,23,Male,70.09,47.53,92.51,Medium,Secondary,20.25,Yes,2.56,6,0
STU1072,25,Female,49.0,79.45,100.0,Medium,Secondary,7.96,No,1.8,3,1
STU1073,24,Male,100.0,100.0,61.19,High,Secondary,6.48,No,2.59,0,0
STU1074,17,Male,91.89,80.85,100.0,Medium,Graduate,21.48,No,3.07,6,0
STU1075,24,Male,70.9,73.93,86.08,Low,Graduate,9.39,Yes,2.17,4,0
STU1076,24,Male,74.73,77.98,48.49,Low,None,8.82,No,2.26,8,1
STU1077,19,Male,61.34,59.09,23.08,High,None,0.0,No,1.36,5,1
STU1078,17,Male,99.3,58.92,59.04,Medium,Graduate,9.83,No,1.82,5,0
STU1079,24,Female,69.98,58.69,80.85,High,Secondary,3.22,Yes,2.96,8,0
STU1080,19,Male,56.72,54.65,83.75,Low,Secondary,7.2,No,3.31,5,1
STU1081,19,Female,81.2,58.66,73.82,Low,Secondary,0.0,No,3.48,7,0
STU1082,17,Male,65.1,58.57,74.0,Low,Secondary,16.18,No,4.0,3,0
STU1083,21,Male,62.55,60.6,72.48,Medium,None,2.67,No,3.79,9,1
STU1084,23,Female,71.55,60.09,95.62,Medium,Graduate,0.3,No,2.48,5,0
STU1085,25,Male,79.3,69.37,46.27,Low,Graduate,5.46,Yes,1.85,1,0
STU1086,23,Female,57.28,66.42,80.37,Medium,Graduate,16.24,Yes,2.4,5,1
STU1087,25,Female,98.78,68.01,58.54,Medium,Secondary,7.78,No,2.16,5,1
STU1088,24,Male,88.16,92.4,56.87,Low,Graduate,8.44,Yes,2.73,5,0
STU1089,18,Female,72.52,66.38,98.52,Medium,Postgraduate,12.39,No,3.31,0,0
STU1090,17,Female,64.45,100.0,55.33,Medium,Graduate,9.24,Yes,2.98,3,0
STU1091,23,Male,76.66,71.35,72.21,Low,Secondary,16.19,No,3.86,0,0
STU1092,23,Female,91.49,56.95,100.0,Low,Graduate,8.8,No,2.92,0,0
STU1093,24,Male,89.17,89.29,91.76,Low,Secondary,8.88,Yes,1.58,5,0
STU1094,21,Male,93.88,63.57,65.9,Medium,Graduate,21.32,No,2.14,3,0
STU1095,19,Male,70.79,21.91,67.55,High,Secondary,10.28,No,2.92,3,1
STU1096,24,Male,34.13,64.93,50.46,Medium,Graduate,11.15,Yes,2.78,2,1
STU1097,22,Female,96.72,60.51,100.0,Low,Graduate,8.95,No,3.65,9,0
STU1098,19,Male,75.49,93.92,95.23,High,Secondary,0.0,Yes,2.61,5,0
STU1099,17,Male,87.99,48.84,88.73,High,None,14.36,No,2.46,0,0
STU1100,19,Female,100.0,59.01,90.94,Medium,Secondary,18.3,Yes,1.34,6,0
STU1101,21,Male,100.0,87.82,59.51,High,None,16.28,Yes,1.95,3,0
STU1102,19,Male,68.25,72.1,44.04,Medium,Secondary,7.21,No,2.85,8,1
STU1103,17,Female,80.01,61.91,86.21,Medium,Secondary,9.13,No,2.77,4,0
STU1104,21,Female,98.5,51.38,92.77,Medium,Secondary,11.75,Yes,3.08,2,1
STU1105,23,Female,65.34,71.33,100.0,Medium,Postgraduate,11.57,No,2.96,3,0
STU1106,23,Female,69.27,64.47,70.98,Low,Secondary,13.4,No,2.51,3,1
STU1107,25,Female,69.18,51.18,68.06,High,Secondary,11.02,No,1.8,6,1
STU1108,19,Female,77.58,52.11,70.21,High,None,8.19,No,2.6,2,0
STU1109,23,Female,74.7,50.34,88.41,Medium,Secondary,10.68,No,2.56,8,0
STU1110,17,Male,69.09,47.13,69.36,Low,Secondary,14.99,No,3.7,6,0
STU1111,20,Female,63.51,81.81,73.96,Low,Graduate,24.58,No,3.66,5,0
STU1112,20,Female,90.18,79.39,91.62,Low,Secondary,7.51,No,2.22,5,0
STU1113,21,Female,98.07,81.84,62.48,Low,Graduate,11.13,Yes,2.1,4,0
STU1114,23,Male,100.0,65.08,100.0,Medium,Graduate,8.18,Yes,1.52,1,0
STU1115,23,Male,70.78,60.63,87.66,High,None,11.54,Yes,2.47,5,1
STU1116,20,Female,90.81,60.96,37.85,Low,Secondary,14.88,Yes,2.22,10,0
STU1117,23,Female,81.54,83.38,64.69,Low,Secondary,8.96,Yes,4.0,7,0
STU1118,19,Female,69.44,32.24,34.51,Medium,Graduate,0.0,No,1.71,6,1
STU1119,22,Male,89.01,55.74,71.07,Low,Secondary,15.14,No,2.65,0,0
STU1120,18,Male,68.75,49.03,65.03,High,Graduate,10.65,Yes,2.09,8,0
STU1121,25,Female,72.36,89.48,91.7,Low,Graduate,8.29,Yes,2.62,7,0
STU1122,21,Male,57.35,56.41,57.38,Low,Graduate,7.17,Yes,2.33,8,1
STU1123,22,Female,71.04,35.55,82.75,Low,Secondary,11.56,No,3.25,2,0
STU1124,20,Male,81.81,69.02,86.38,Low,None,6.52,No,2.95,3,0
STU1125,23,Male,100.0,58.34,80.14,Medium,Graduate,7.1,Yes,3.22,0,0
STU1126,25,Female,72.7,54.98,97.8,Low,Graduate,3.76,No,2.0,0,0
STU1127,23,Female,62.43,53.12,100.0,Medium,Postgraduate,6.59,No,3.46,3,0
STU1128,17,Female,100.0,52.41,77.24,Medium,Postgraduate,13.15,No,2.21,6,0
STU1129,17,Female,70.43,77.75,83.1,Low,Graduate,3.09,Yes,1.48,3,0
STU1130,25,Male,51.77,69.03,57.39,Low,Graduate,15.76,No,2.45,2,1
STU1131,25,Male,80.0,61.44,54.61,Medium,Graduate,4.11,No,2.69,6,0
STU1132,20,Male,73.13,45.23,95.68,Medium,Secondary,10.75,No,1.6,0,0
STU1133,25,Female,100.0,61.96,93.03,High,Graduate,12.42,No,3.3,3,0
STU1134,19,Male,85.13,69.69,54.41,Low,Secondary,14.12,No,1.95,6,1
STU1135,23,Female,75.8,70.38,48.84,Low,Secondary,14.12,No,1.92,3,1
STU1136,22,Male,64.13,67.9,62.03,Low,Graduate,9.58,No,2.6,8,0
STU1137,24,Female,82.95,48.39,72.17,Medium,Secondary,9.14,No,3.29,3,0
STU1138,25,Female,99.85,21.74,66.82,Medium,Secondary,12.98,No,1.63,3,0
STU1139,21,Male,82.68,97.39,78.21,High,Secondary,11.39,No,3.35,2,0
STU1140,17,Female,65.29,41.43,93.34,Medium,Graduate,8.27,Yes,0.87,2,1
STU1141,19,Female,86.08,29.63,84.24,Low,Graduate,11.85,No,2.86,5,1
STU1142,24,Male,77.27,67.35,85.72,Medium,Secondary,9.16,No,1.7,7,1
STU1143,22,Female,84.73,34.25,25.97,High,Secondary,7.0,No,1.96,11,1
STU1144,24,Female,72.68,50.51,42.72,Low,Secondary,8.11,Yes,3.99,6,1
STU1145,25,Female,72.33,74.88,59.07,Medium,None,12.43,No,1.81,1,0
STU1146,20,Male,71.73,96.91,62.37,High,Secondary,5.36,No,2.56,8,0
STU1147,17,Male,92.13,71.98,91.8,Medium,Graduate,15.53,No,1.75,6,0
STU1148,17,Female,72.48,57.1,57.42,Medium,Secondary,7.21,No,3.22,5,0
STU1149,20,Male,71.1,64.07,88.34,Low,Secondary,0.0,Yes,2.93,8,0
STU1150,23,Female,63.87,32.45,59.3,Medium,None,12.76,Yes,3.04,12,1
STU1151,18,Female,84.81,56.89,50.98,Low,Secondary,0.0,No,3.5,4,1
STU1152,19,Female,82.68,56.9,51.91,Medium,None,4.94,Yes,2.33,2,0
STU1153,17,Female,71.27,67.76,100.0,Low,Graduate,22.11,No,3.46,8,1
STU1154,21,Female,67.36,99.96,58.85,High,Secondary,15.3,No,3.79,12,0
STU1155,17,Male,100.0,30.14,88.82,High,Graduate,14.89,No,2.83,5,1
STU1156,24,Female,49.79,57.66,43.84,Medium,Graduate,4.41,Yes,1.71,5,1
STU1157,17,Male,85.4,32.0,100.0,Low,Secondary,9.07,Yes,1.64,5,1
STU1158,17,Male,97.37,55.94,81.98,Low,Secondary,16.21,No,2.95,6,0
STU1159,18,Female,27.2,49.44,80.48,Medium,Graduate,13.2,No,1.71,0,1
STU1160,18,Female,89.91,38.1,83.28,Medium,None,15.68,Yes,1.53,5,1
STU1161,22,Male,74.7,81.44,85.48,Medium,Graduate,18.91,No,3.31,5,0
STU1162,23,Male,81.84,69.6,91.18,Low,Postgraduate,13.3,No,2.23,5,0
STU1163,21,Male,73.15,79.33,63.02,Medium,Secondary,3.85,Yes,4.0,5,0
STU1164,17,Female,94.13,55.43,61.85,Medium,Graduate,12.99,Yes,2.07,5,0
STU1165,17,Male,83.45,63.73,75.98,Medium,Graduate,8.82,No,2.2,0,0
STU1166,19,Female,79.98,93.7,88.69,Medium,Secondary,3.55,Yes,2.89,2,0
STU1167,18,Female,64.52,64.95,73.67,Medium,Graduate,14.47,Yes,2.76,7,1
STU1168,21,Female,100.0,79.54,90.48,Low,Secondary,16.01,Yes,2.53,8,0
STU1169,22,Male,78.15,53.89,87.36,Low,Secondary,9.53,No,2.51,3,0
STU1170,23,Female,100.0,77.89,70.66,Medium,Graduate,11.6,No,4.0,2,0
STU1171,20,Female,100.0,55.12,40.06,Low,Graduate,0.0,Yes,3.93,7,1
STU1172,23,Female,51.32,30.86,64.93,Medium,Postgraduate,15.62,Yes,3.27,5,1
STU1173,24,Female,68.18,64.86,100.0,Medium,Secondary,13.97,Yes,1.62,4,1
STU1174,17,Female,62.45,56.53,81.8,High,Secondary,11.25,No,2.54,7,0
STU1175,22,Male,77.28,35.75,62.21,Medium,Secondary,3.74,Yes,3.13,1,1
STU1176,24,Female,80.81,68.45,80.01,Low,None,1.78,No,3.2,8,1
STU1177,21,Female,81.45,48.92,88.53,Low,Secondary,20.13,Yes,3.62,0,0
STU1178,20,Male,93.81,100.0,62.22,High,Secondary,5.0,Yes,2.09,2,0
STU1179,18,Female,100.0,38.64,99.71,Low,Secondary,10.67,Yes,2.57,1,0
STU1180,22,Male,92.51,43.17,84.91,Medium,Secondary,5.16,No,2.0,3,0
STU1181,22,Female,69.59,80.65,53.0,Medium,Secondary,0.0,No,3.67,5,0
STU1182,17,Male,66.27,62.61,92.13,Low,Postgraduate,12.24,No,3.16,7,0
STU1183,25,Male,78.04,80.29,66.81,Low,Graduate,13.02,Yes,2.19,4,0
STU1184,22,Female,84.39,71.85,71.42,Medium,None,1.66,Yes,2.78,1,0
STU1185,19,Female,75.25,54.52,54.68,High,Graduate,15.54,No,2.64,0,1
STU1186,20,Female,57.82,40.18,87.63,Low,Graduate,7.37,No,1.9,7,0
STU1187,20,Male,88.23,84.28,72.02,High,Graduate,4.59,No,3.34,7,0
STU1188,19,Male,72.12,41.81,88.48,Medium,Secondary,4.26,Yes,2.66,8,0
STU1189,19,Male,71.66,75.06,63.98,High,Secondary,14.36,Yes,2.18,4,0
STU1190,19,Female,77.18,81.54,61.69,Low,Graduate,0.38,Yes,1.88,7,0
STU1191,20,Male,74.4,62.72,60.07,Low,Secondary,3.79,No,3.28,3,1
STU1192,23,Male,72.5,59.53,82.92,High,Postgraduate,12.16,No,2.81,6,0
STU1193,20,Female,58.8,47.29,61.39,High,Graduate,11.49,No,2.04,3,1
STU1194,25,Male,76.32,73.33,70.94,Medium,Postgraduate,4.89,Yes,2.2,2,0
STU1195,17,Male,88.54,10.17,64.63,Medium,Secondary,16.43,No,2.6,5,1
STU1196,24,Female,81.97,77.88,83.8,High,Secondary,4.43,No,2.65,5,0
STU1197,23,Male,92.22,67.15,40.29,Low,Secondary,8.96,Yes,2.75,7,0
STU1198,18,Female,67.07,60.99,79.94,Medium,Postgraduate,8.3,No,1.18,1,1
STU1199,24,Female,58.83,69.36,100.0,High,Secondary,8.31,No,2.7,7,0
STU1200,17,Female,74.31,40.28,99.72,Medium,Graduate,9.02,No,1.62,5,1
STU1201,25,Female,68.79,21.57,62.67,Low,Secondary,8.87,No,3.74,8,0
STU1202,25,Female,70.34,73.43,84.89,Medium,Secondary,8.81,Yes,3.43,8,0
STU1203,18,Male,81.18,88.7,81.01,Low,Secondary,9.09,No,3.53,0,0
STU1204,23,Male,70.45,33.69,100.0,Low,Secondary,15.43,No,0.63,8,1
STU1205,19,Female,59.25,46.06,24.8,High,Graduate,8.84,Yes,2.36,8,1
STU1206,23,Female,69.62,78.54,97.26,Medium,None,13.46,No,2.54,1,0
STU1207,25,Male,83.1,71.46,69.65,High,Graduate,10.74,No,3.06,0,0
STU1208,20,Female,88.07,100.0,60.14,High,Graduate,11.83,Yes,3.32,7,0
STU1209,17,Female,87.92,84.36,59.56,Low,Graduate,13.89,Yes,3.63,5,0
STU1210,18,Female,84.37,80.04,49.0,Low,Graduate,4.3,Yes,0.75,3,0
STU1211,17,Male,75.48,51.25,62.72,Low,Secondary,13.14,No,1.96,9,0
STU1212,21,Male,84.07,74.45,53.41,Low,Secondary,8.94,No,2.65,5,0
STU1213,21,Female,77.36,91.92,78.6,Medium,Graduate,5.19,No,3.26,0,0
STU1214,23,Female,79.7,62.04,86.8,Medium,Secondary,13.88,Yes,3.24,1,0
STU1215,25,Male,63.91,62.89,69.87,Medium,Secondary,7.87,No,2.98,8,1
STU1216,25,Male,78.66,67.54,100.0,Low,None,11.89,No,2.09,5,0
STU1217,19,Female,83.68,53.04,64.03,Medium,Graduate,0.0,Yes,2.19,2,0
STU1218,19,Female,83.12,69.84,68.82,Medium,Secondary,13.63,No,2.1,6,1
STU1219,19,Male,58.69,69.39,65.54,Medium,Secondary,22.95,No,1.82,3,1
STU1220,20,Male,79.44,91.64,86.97,Low,None,9.96,Yes,1.8,1,0
STU1221,24,Male,56.34,61.59,88.99,Medium,Postgraduate,8.68,Yes,1.73,8,0
STU1222,22,Female,80.61,77.15,84.91,Low,Secondary,7.69,No,2.87,8,0
STU1223,24,Male,67.48,62.13,72.52,Medium,Graduate,12.78,No,2.7,6,1
STU1224,17,Female,100.0,76.52,48.19,Medium,Graduate,8.48,No,1.86,0,0
STU1225,24,Male,79.79,60.5,68.61,Low,Graduate,13.24,No,1.23,10,0
STU1226,20,Male,90.02,75.32,100.0,Medium,Secondary,18.61,Yes,2.3,10,0
STU1227,17,Male,100.0,78.11,95.26,Low,Graduate,14.21,Yes,3.78,8,0
STU1228,24,Male,65.74,45.8,80.88,Low,Secondary,9.13,No,2.6,5,1
STU1229,20,Female,84.54,84.84,67.31,Low,Secondary,4.42,Yes,3.24,5,0
STU1230,22,Female,60.21,62.0,74.73,High,Graduate,7.96,No,2.74,6,0
STU1231,24,Male,83.17,56.54,67.4,Medium,Graduate,9.2,Yes,2.55,1,0
STU1232,20,Female,100.0,52.22,98.86,High,Graduate,3.41,Yes,1.42,3,0
STU1233,19,Male,68.58,70.37,58.22,Medium,Graduate,15.43,Yes,2.27,3,0
STU1234,25,Male,64.71,64.92,93.47,Medium,Secondary,12.85,Yes,2.17,6,1
STU1235,19,Male,76.63,71.67,64.42,Medium,Postgraduate,4.76,No,3.78,5,0
STU1236,25,Male,100.0,72.02,100.0,Low,None,1.1,Yes,2.75,2,0
STU1237,18,Female,89.57,75.95,83.54,Low,Graduate,13.59,No,3.62,0,0
STU1238,18,Male,64.43,100.0,60.01,Low,Secondary,1.78,No,3.5,6,0
STU1239,18,Male,99.83,65.71,68.81,Medium,Secondary,10.42,No,1.92,1,0
STU1240,22,Female,53.17,51.78,89.23,Low,Secondary,7.95,No,2.6,1,1
STU1241,19,Male,100.0,28.64,65.02,Low,Secondary,14.0,No,3.95,11,0
STU1242,25,Male,90.85,43.48,75.44,Low,Secondary,14.06,Yes,3.05,11,0
STU1243,20,Male,100.0,87.24,64.74,Medium,Secondary,5.89,No,3.0,3,0
STU1244,17,Female,53.28,77.96,100.0,Medium,None,14.44,No,3.33,0,1
STU1245,20,Male,80.54,40.7,100.0,High,Graduate,8.55,Yes,2.98,8,1
STU1246,17,Female,75.99,100.0,100.0,Low,None,10.09,No,3.04,6,0
STU1247,21,Male,62.9,70.88,72.51,Low,Secondary,10.2,No,2.84,7,0
STU1248,20,Male,58.56,73.29,66.94,Medium,None,21.24,Yes,2.33,3,1
STU1249,24,Female,85.61,100.0,59.42,High,Secondary,9.4,No,1.75,1,0
STU1250,24,Male,86.97,96.31,100.0,Low,Graduate,1.64,Yes,1.11,4,0
STU1251,23,Male,97.5,79.06,93.61,Medium,Postgraduate,6.43,No,2.34,5,0
STU1252,19,Female,70.45,79.93,94.58,Medium,None,13.69,No,2.95,2,0
STU1253,17,Female,75.88,81.61,70.0,Low,Graduate,8.58,Yes,2.79,8,0
STU1254,17,Female,57.26,60.66,39.84,Low,Graduate,10.07,Yes,3.11,0,1
STU1255,19,Female,100.0,70.16,44.44,Low,Secondary,7.84,Yes,2.5,6,0
STU1256,22,Female,79.04,75.34,76.15,High,Graduate,0.0,Yes,4.0,5,0
STU1257,23,Male,88.84,62.72,64.55,Medium,Secondary,6.11,Yes,4.0,8,0
STU1258,22,Female,89.37,47.62,62.25,Medium,Secondary,9.61,No,1.39,2,0
STU1259,22,Male,99.89,60.21,81.9,Medium,Secondary,1.15,No,3.13,7,0
STU1260,22,Male,65.53,47.22,95.27,Medium,None,4.11,No,3.38,6,0
STU1261,19,Male,88.46,66.16,60.98,Medium,Graduate,8.3,Yes,0.9,5,0
STU1262,22,Female,77.62,32.95,48.89,Low,Secondary,8.34,No,2.73,2,1
STU1263,24,Female,100.0,71.14,61.45,Low,Secondary,11.97,No,3.01,2,0
STU1264,18,Male,65.48,35.64,54.12,Low,Secondary,8.62,Yes,2.6,4,1
STU1265,21,Female,95.57,57.74,86.86,Medium,Graduate,11.79,No,2.91,3,0
STU1266,17,Female,83.26,74.07,74.92,Low,Graduate,6.5,Yes,2.66,8,0
STU1267,17,Female,82.47,79.24,100.0,Medium,Graduate,11.06,No,3.16,5,0
STU1268,21,Female,78.81,77.1,89.69,Low,Secondary,17.36,No,3.84,7,0
STU1269,19,Male,98.2,70.76,100.0,High,Graduate,11.44,No,3.22,0,0
STU1270,20,Male,81.96,44.85,46.92,Low,Secondary,8.82,No,3.54,0,0
STU1271,19,Female,55.13,82.65,9.94,Low,None,5.29,No,1.75,4,0
STU1272,17,Male,96.29,45.26,79.86,High,Secondary,10.43,Yes,4.0,1,0
STU1273,17,Female,93.54,84.7,77.46,Medium,Secondary,8.91,No,2.85,5,0
STU1274,21,Female,86.81,76.3,72.54,High,Graduate,12.81,No,2.29,2,0
STU1275,22,Male,61.07,89.46,76.92,Low,Postgraduate,0.89,Yes,2.93,5,0
STU1276,19,Male,63.4,65.45,52.52,Low,Graduate,9.06,No,2.16,2,1
STU1277,25,Male,49.84,50.26,86.26,Medium,Secondary,12.1,No,2.71,6,0
STU1278,21,Female,84.9,41.73,89.72,High,Secondary,10.65,Yes,2.84,2,1
STU1279,24,Male,57.76,43.73,51.01,Low,None,8.34,No,2.05,0,1
STU1280,17,Female,52.22,35.54,67.93,High,Graduate,8.27,No,2.72,7,1
STU1281,21,Male,97.12,81.96,69.16,Medium,Graduate,4.51,No,2.04,2,0
STU1282,19,Male,89.52,84.21,61.58,High,Postgraduate,11.89,No,2.03,9,0
STU1283,17,Female,73.0,74.97,51.78,Medium,Secondary,12.12,No,1.79,3,0
STU1284,20,Female,75.99,64.41,75.25,Low,Graduate,2.93,No,2.3,2,0
STU1285,21,Female,41.89,100.0,80.22,High,Graduate,13.82,Yes,2.16,4,0
STU1286,23,Female,91.75,63.23,62.8,High,Graduate,6.73,Yes,2.98,3,1
STU1287,17,Female,67.61,68.98,53.18,Medium,Graduate,8.12,Yes,3.48,5,0
STU1288,19,Female,82.95,64.14,83.21,Low,Graduate,19.27,Yes,3.13,6,0
STU1289,18,Female,40.67,58.91,59.65,Low,Graduate,18.01,Yes,3.38,6,1
STU1290,25,Female,92.66,76.36,68.82,Medium,Graduate,2.77,No,3.31,4,0
STU1291,22,Male,66.71,53.6,66.28,Low,Secondary,3.61,No,1.86,0,0
STU1292,19,Female,57.36,52.39,99.91,Medium,None,4.75,Yes,2.33,10,0
STU1293,24,Female,72.91,77.27,60.57,Low,None,17.93,Yes,4.0,3,0
STU1294,24,Male,69.05,56.04,100.0,Medium,Secondary,6.96,Yes,2.16,3,0
STU1295,18,Female,94.11,67.4,90.05,Low,Graduate,2.63,Yes,4.0,4,0
STU1296,22,Male,71.69,58.86,100.0,Medium,None,16.16,Yes,2.27,4,0
STU1297,23,Male,98.44,64.79,88.29,Medium,Secondary,12.97,No,0.96,0,0
STU1298,18,Female,82.95,52.88,70.58,Medium,Secondary,21.25,Yes,2.4,6,1
STU1299,18,Male,91.42,53.47,56.65,Medium,Graduate,12.96,No,3.28,2,0
STU1300,17,Female,77.97,50.24,67.89,Low,Secondary,9.84,No,3.93,4,0
STU1301,24,Male,97.08,80.18,100.0,Medium,None,11.26,Yes,1.42,10,0
STU1302,17,Male,60.7,68.09,74.04,High,Secondary,7.74,Yes,3.26,7,0
STU1303,25,Male,79.7,81.53,88.22,Medium,Secondary,16.53,Yes,3.31,9,0
STU1304,22,Female,72.05,83.46,79.14,High,Graduate,16.79,Yes,3.64,2,0
STU1305,23,Female,98.95,56.72,79.99,Medium,Secondary,2.09,Yes,0.46,7,1
STU1306,23,Male,100.0,80.87,80.76,Medium,Graduate,14.71,No,3.93,6,0
STU1307,19,Male,78.01,64.75,84.91,Low,Graduate,4.64,Yes,2.95,4,0
