matric_percentage,science_aptitude,extracurricular_score,city_tier,recommended_field,college_tier
69.74,0.482,71.1,Metro,Commerce,Mid-Tier College
91.01,0.97,41.5,Metro,Pre-Medical,Top-Tier Government College
92.05,0.139,77.0,Urban,Pre-Engineering,Top-Tier Government College
64.6,0.371,64.7,Urban,Arts/Humanities,Standard College
73.31,0.249,42.6,Urban,Commerce,Top-Tier Government College
79.76,0.749,49.4,Urban,Pre-Engineering,Top-Tier Government College
64.91,0.243,34.5,Metro,Commerce,Mid-Tier College
39.55,0.56,63.6,Rural,Arts/Humanities,Standard College
78.48,0.189,52.1,Urban,Computer Science,Mid-Tier College
82.31,0.067,89.3,Urban,Computer Science,Mid-Tier College
74.65,0.89,0.0,Metro,Commerce,Top-Tier Government College
53.22,0.772,26.0,Urban,Commerce,Mid-Tier College
64.86,0.794,39.9,Metro,Commerce,Standard College
58.55,0.997,60.4,Metro,Commerce,Standard College
63.2,0.851,42.9,Rural,Commerce,Standard College
88.75,0.07,35.9,Urban,Pre-Engineering,Top-Tier Government College
92.47,0.283,58.4,Rural,Pre-Engineering,Top-Tier Government College
78.71,0.413,41.7,Metro,Computer Science,Top-Tier Government College
76.78,0.949,54.8,Urban,Computer Science,Top-Tier Government College
78.83,0.021,67.7,Metro,Pre-Engineering,Top-Tier Government College
67.8,0.739,69.3,Metro,Commerce,Mid-Tier College
66.79,0.066,19.3,Metro,Commerce,Top-Tier Government College
57.22,0.172,35.5,Rural,Arts/Humanities,Standard College
67.11,0.246,58.8,Urban,Commerce,Mid-Tier College
100.0,0.445,46.6,Metro,Pre-Engineering,Top-Tier Government College
81.9,0.904,34.9,Rural,Computer Science,Mid-Tier College
62.53,0.858,62.0,Metro,Commerce,Standard College
60.45,0.316,51.8,Urban,Arts/Humanities,Mid-Tier College
54.17,0.985,59.1,Metro,Arts/Humanities,Mid-Tier College
73.99,0.061,67.8,Urban,Commerce,Mid-Tier College
74.26,0.059,42.7,Metro,Commerce,Top-Tier Government College
44.91,0.481,70.3,Rural,Arts/Humanities,Standard College
75.78,0.34,53.7,Metro,Commerce,Mid-Tier College
58.89,0.87,55.4,Metro,Commerce,Standard College
90.83,0.025,70.4,Metro,Pre-Engineering,Top-Tier Government College
70.51,0.883,18.6,Metro,Computer Science,Top-Tier Government College
95.48,0.283,17.7,Urban,Pre-Engineering,Top-Tier Government College
60.67,0.79,27.7,Urban,Commerce,Standard College
63.39,0.016,67.1,Urban,Arts/Humanities,Mid-Tier College
72.8,0.915,52.6,Urban,Commerce,Top-Tier Government College
84.9,0.827,39.3,Metro,Pre-Engineering,Mid-Tier College
77.05,0.583,29.8,Urban,Commerce,Mid-Tier College
48.26,0.832,16.8,Urban,Arts/Humanities,Mid-Tier College
70.93,0.802,55.9,Urban,Commerce,Mid-Tier College
68.36,0.855,49.7,Metro,Computer Science,Mid-Tier College
61.13,0.684,57.7,Metro,Arts/Humanities,Mid-Tier College
57.63,0.97,68.0,Urban,Commerce,Mid-Tier College
95.96,0.577,55.7,Urban,Pre-Medical,Top-Tier Government College
61.75,0.698,76.7,Urban,Commerce,Standard College
54.47,0.476,42.2,Urban,Arts/Humanities,Standard College
78.19,0.988,79.6,Rural,Pre-Engineering,Top-Tier Government College
70.09,0.022,58.5,Rural,Computer Science,Mid-Tier College
66.79,0.737,39.6,Metro,Computer Science,Mid-Tier College
80.5,0.242,53.6,Metro,Pre-Engineering,Top-Tier Government College
75.82,0.673,92.6,Rural,Computer Science,Mid-Tier College
73.8,0.176,25.6,Metro,Computer Science,Mid-Tier College
83.43,0.342,38.3,Metro,Pre-Engineering,Mid-Tier College
72.54,0.687,41.8,Urban,Commerce,Mid-Tier College
58.13,0.409,53.4,Urban,Arts/Humanities,Standard College
62.2,0.664,51.3,Urban,Commerce,Mid-Tier College
59.66,0.646,86.6,Urban,Arts/Humanities,Mid-Tier College
71.36,0.114,46.1,Metro,Computer Science,Mid-Tier College
50.75,0.694,63.0,Metro,Arts/Humanities,Standard College
38.68,0.279,40.1,Urban,Arts/Humanities,Standard College
69.41,0.425,28.3,Rural,Commerce,Top-Tier Government College
46.62,0.513,47.0,Metro,Arts/Humanities,Standard College
36.77,0.379,45.2,Metro,Arts/Humanities,Standard College
73.97,0.264,63.2,Metro,Commerce,Mid-Tier College
56.62,0.162,75.7,Metro,Commerce,Standard College
75.94,0.627,41.1,Urban,Commerce,Mid-Tier College
59.51,0.755,71.2,Metro,Commerce,Standard College
50.05,0.191,30.1,Urban,Commerce,Standard College
48.1,0.603,84.1,Urban,Arts/Humanities,Mid-Tier College
59.76,0.131,21.2,Metro,Arts/Humanities,Standard College
63.63,0.644,40.0,Metro,Commerce,Standard College
54.82,0.298,54.7,Urban,Arts/Humanities,Standard College
63.5,0.358,42.5,Urban,Arts/Humanities,Mid-Tier College
43.42,0.671,27.8,Metro,Arts/Humanities,Standard College
68.23,0.464,63.5,Metro,Computer Science,Mid-Tier College
39.3,0.449,30.3,Metro,Arts/Humanities,Standard College
64.9,0.303,68.5,Urban,Commerce,Mid-Tier College
79.16,0.813,21.4,Metro,Pre-Engineering,Mid-Tier College
85.47,0.304,69.9,Urban,Pre-Engineering,Top-Tier Government College
95.43,0.648,65.8,Urban,Pre-Medical,Top-Tier Government College
43.1,0.059,59.9,Rural,Arts/Humanities,Standard College
80.14,0.91,70.1,Rural,Computer Science,Mid-Tier College
87.3,0.966,45.7,Urban,Pre-Engineering,Top-Tier Government College
83.69,0.183,48.6,Urban,Computer Science,Mid-Tier College
53.13,0.441,72.1,Metro,Commerce,Standard College
74.59,0.108,29.4,Urban,Commerce,Top-Tier Government College
97.76,0.414,44.4,Metro,Pre-Engineering,Top-Tier Government College
44.04,0.868,45.4,Metro,Arts/Humanities,Standard College
75.62,0.594,45.1,Metro,Commerce,Mid-Tier College
85.8,0.137,44.2,Urban,Pre-Engineering,Top-Tier Government College
56.85,0.97,2.0,Rural,Arts/Humanities,Mid-Tier College
77.33,0.557,49.1,Rural,Commerce,Mid-Tier College
50.87,0.074,54.8,Urban,Arts/Humanities,Mid-Tier College
55.0,0.366,73.5,Urban,Commerce,Standard College
54.93,0.146,64.7,Urban,Arts/Humanities,Standard College
71.08,0.883,37.8,Rural,Computer Science,Mid-Tier College
66.54,0.392,44.0,Metro,Commerce,Mid-Tier College
83.27,0.5,31.1,Metro,Computer Science,Mid-Tier College
52.96,0.84,42.2,Urban,Commerce,Mid-Tier College
65.9,0.568,37.4,Metro,Computer Science,Mid-Tier College
83.38,0.049,70.5,Rural,Pre-Engineering,Mid-Tier College
76.97,0.074,56.7,Metro,Computer Science,Mid-Tier College
46.81,0.174,60.9,Urban,Arts/Humanities,Standard College
78.64,0.675,42.0,Rural,Computer Science,Top-Tier Government College
60.35,0.617,46.2,Urban,Arts/Humanities,Mid-Tier College
74.17,0.358,59.2,Metro,Computer Science,Mid-Tier College
72.81,0.313,33.8,Urban,Commerce,Mid-Tier College
87.51,0.08,59.4,Urban,Pre-Engineering,Top-Tier Government College
69.86,0.07,66.2,Metro,Commerce,Mid-Tier College
38.34,0.635,38.0,Urban,Arts/Humanities,Standard College
46.08,0.795,49.2,Rural,Arts/Humanities,Mid-Tier College
79.7,0.502,32.7,Metro,Computer Science,Top-Tier Government College
63.87,0.689,81.6,Metro,Arts/Humanities,Standard College
86.21,0.448,58.1,Metro,Computer Science,Top-Tier Government College
72.38,0.054,70.7,Urban,Commerce,Mid-Tier College
56.01,0.002,45.3,Rural,Commerce,Mid-Tier College
85.32,0.801,32.5,Metro,Computer Science,Top-Tier Government College
55.08,0.867,47.8,Urban,Arts/Humanities,Mid-Tier College
35.16,0.984,76.5,Metro,Arts/Humanities,Standard College
100.0,0.307,81.3,Urban,Pre-Engineering,Top-Tier Government College
37.43,0.734,64.9,Rural,Arts/Humanities,Standard College
78.18,0.74,49.5,Metro,Pre-Engineering,Top-Tier Government College
83.02,0.666,57.7,Rural,Computer Science,Mid-Tier College
70.35,0.821,71.0,Urban,Computer Science,Mid-Tier College
41.07,0.956,29.9,Metro,Arts/Humanities,Standard College
84.24,0.202,67.2,Urban,Computer Science,Mid-Tier College
44.94,0.728,34.1,Rural,Arts/Humanities,Standard College
46.5,0.413,55.2,Metro,Arts/Humanities,Standard College
62.21,0.827,64.3,Rural,Commerce,Standard College
80.62,0.912,55.6,Urban,Pre-Engineering,Mid-Tier College
72.8,0.941,52.1,Urban,Commerce,Mid-Tier College
80.97,0.757,75.3,Metro,Pre-Engineering,Mid-Tier College
60.9,0.92,42.4,Metro,Arts/Humanities,Standard College
65.25,0.118,43.5,Metro,Computer Science,Mid-Tier College
49.81,0.094,32.2,Urban,Arts/Humanities,Standard College
62.93,0.417,53.9,Rural,Arts/Humanities,Standard College
77.49,0.72,64.9,Metro,Computer Science,Mid-Tier College
63.2,0.807,48.2,Urban,Arts/Humanities,Standard College
75.61,0.837,13.2,Urban,Commerce,Mid-Tier College
58.83,0.132,58.8,Metro,Commerce,Mid-Tier College
58.52,0.684,62.5,Rural,Arts/Humanities,Mid-Tier College
68.63,0.554,33.7,Rural,Commerce,Top-Tier Government College
64.88,0.167,45.8,Rural,Arts/Humanities,Mid-Tier College
77.48,0.474,50.9,Urban,Commerce,Mid-Tier College
70.85,0.775,35.3,Urban,Computer Science,Mid-Tier College
95.85,0.165,55.5,Urban,Pre-Engineering,Top-Tier Government College
64.49,0.895,51.9,Metro,Arts/Humanities,Standard College
64.36,0.164,27.8,Rural,Arts/Humanities,Mid-Tier College
51.36,0.082,0.0,Rural,Commerce,Standard College
68.36,0.363,32.3,Metro,Computer Science,Mid-Tier College
78.93,0.778,77.6,Metro,Pre-Engineering,Top-Tier Government College
56.16,0.775,73.4,Rural,Arts/Humanities,Standard College
67.21,0.865,44.0,Metro,Commerce,Mid-Tier College
79.5,0.18,29.4,Urban,Pre-Engineering,Mid-Tier College
65.97,0.218,78.2,Urban,Computer Science,Mid-Tier College
59.69,0.206,63.7,Metro,Commerce,Mid-Tier College
83.57,0.207,74.3,Urban,Pre-Engineering,Mid-Tier College
69.55,0.423,86.1,Metro,Commerce,Mid-Tier College
74.35,0.995,58.7,Metro,Commerce,Mid-Tier College
86.74,0.677,51.8,Metro,Computer Science,Top-Tier Government College
86.33,0.34,35.3,Metro,Computer Science,Top-Tier Government College
62.44,0.96,52.9,Urban,Arts/Humanities,Mid-Tier College
59.59,0.562,30.9,Metro,Commerce,Mid-Tier College
72.55,0.039,70.9,Metro,Commerce,Mid-Tier College
65.88,0.073,45.8,Rural,Commerce,Top-Tier Government College
37.6,0.554,80.8,Urban,Arts/Humanities,Standard College
88.41,0.194,43.4,Urban,Pre-Engineering,Top-Tier Government College
68.31,0.269,58.7,Metro,Computer Science,Mid-Tier College
79.78,0.373,34.9,Metro,Computer Science,Mid-Tier College
49.23,0.597,67.2,Metro,Arts/Humanities,Standard College
88.61,0.931,34.1,Urban,Pre-Medical,Top-Tier Government College
58.59,0.088,75.4,Urban,Arts/Humanities,Standard College
66.28,0.923,60.8,Urban,Computer Science,Mid-Tier College
45.58,0.43,14.3,Metro,Arts/Humanities,Mid-Tier College
65.33,0.311,23.2,Rural,Commerce,Mid-Tier College
64.32,0.289,54.8,Rural,Commerce,Standard College
65.03,0.357,49.0,Urban,Computer Science,Mid-Tier College
75.02,0.42,89.0,Rural,Commerce,Top-Tier Government College
68.97,0.396,32.9,Urban,Computer Science,Mid-Tier College
83.61,0.847,46.0,Urban,Pre-Engineering,Mid-Tier College
60.51,0.339,50.1,Metro,Commerce,Standard College
52.06,0.24,54.6,Rural,Commerce,Standard College
67.69,0.932,83.7,Metro,Commerce,Top-Tier Government College
78.05,0.779,48.4,Urban,Pre-Engineering,Mid-Tier College
87.91,0.028,19.1,Metro,Pre-Engineering,Top-Tier Government College
81.02,0.556,80.8,Rural,Pre-Engineering,Mid-Tier College
39.75,0.627,58.4,Rural,Arts/Humanities,Standard College
74.03,0.148,21.1,Urban,Computer Science,Top-Tier Government College
91.37,0.333,37.1,Metro,Pre-Engineering,Top-Tier Government College
69.0,0.181,44.1,Urban,Computer Science,Mid-Tier College
59.74,0.085,52.7,Rural,Commerce,Standard College
72.95,0.512,65.8,Metro,Commerce,Mid-Tier College
59.95,0.074,45.5,Metro,Arts/Humanities,Mid-Tier College
78.23,0.461,40.0,Metro,Computer Science,Mid-Tier College
67.79,0.478,31.2,Metro,Commerce,Mid-Tier College
90.29,0.597,46.9,Metro,Pre-Medical,Top-Tier Government College
75.99,0.855,51.6,Urban,Computer Science,Top-Tier Government College
56.42,0.027,59.3,Urban,Arts/Humanities,Mid-Tier College
77.67,0.178,8.0,Metro,Commerce,Mid-Tier College
82.98,0.668,32.8,Metro,Pre-Engineering,Mid-Tier College
58.9,0.428,59.4,Metro,Arts/Humanities,Standard College
61.19,0.18,83.1,Metro,Commerce,Mid-Tier College
33.0,0.19,67.9,Rural,Arts/Humanities,Standard College
82.45,0.187,5.6,Urban,Computer Science,Top-Tier Government College
58.6,0.921,12.3,Urban,Commerce,Standard College
34.04,0.381,61.1,Urban,Arts/Humanities,Standard College
39.7,0.576,50.9,Metro,Arts/Humanities,Standard College
64.43,0.571,51.3,Urban,Commerce,Standard College
80.17,0.755,88.7,Metro,Pre-Engineering,Mid-Tier College
66.57,0.482,29.4,Urban,Commerce,Mid-Tier College
75.55,0.386,73.7,Metro,Computer Science,Top-Tier Government College
50.38,0.714,52.3,Urban,Commerce,Standard College
46.54,0.325,38.6,Urban,Arts/Humanities,Standard College
82.17,0.098,9.3,Urban,Computer Science,Top-Tier Government College
75.87,0.998,27.1,Rural,Commerce,Top-Tier Government College
67.51,0.933,79.9,Urban,Computer Science,Mid-Tier College
88.51,0.457,51.9,Rural,Pre-Engineering,Top-Tier Government College
52.78,0.723,65.8,Urban,Commerce,Standard College
61.28,0.817,61.5,Urban,Arts/Humanities,Standard College
84.42,0.381,47.0,Metro,Computer Science,Mid-Tier College
97.4,0.181,66.5,Urban,Pre-Engineering,Top-Tier Government College
68.13,0.159,56.3,Urban,Commerce,Mid-Tier College
94.87,0.878,46.5,Urban,Pre-Medical,Top-Tier Government College
58.36,0.99,43.8,Urban,Commerce,Standard College
73.28,0.449,35.9,Metro,Commerce,Mid-Tier College
65.22,0.979,55.7,Urban,Commerce,Mid-Tier College
42.59,0.474,46.4,Metro,Arts/Humanities,Standard College
72.13,0.453,71.8,Rural,Commerce,Mid-Tier College
82.92,0.269,44.0,Metro,Computer Science,Mid-Tier College
65.63,0.567,32.3,Metro,Computer Science,Mid-Tier College
66.87,0.391,13.6,Urban,Commerce,Mid-Tier College
90.29,0.867,64.9,Urban,Pre-Medical,Top-Tier Government College
48.0,0.952,98.9,Metro,Arts/Humanities,Mid-Tier College
44.04,0.713,49.4,Rural,Arts/Humanities,Standard College
57.54,0.438,6.7,Rural,Commerce,Standard College
48.85,0.366,68.3,Urban,Arts/Humanities,Mid-Tier College
89.54,0.971,37.0,Urban,Pre-Medical,Top-Tier Government College
72.96,0.68,63.7,Metro,Commerce,Mid-Tier College
54.17,0.627,57.2,Metro,Arts/Humanities,Standard College
58.17,0.001,64.1,Rural,Commerce,Standard College
100.0,0.986,52.5,Metro,Pre-Medical,Top-Tier Government College
58.24,0.338,44.8,Metro,Arts/Humanities,Mid-Tier College
55.81,0.502,71.0,Urban,Commerce,Standard College
72.87,0.165,44.4,Rural,Commerce,Mid-Tier College
78.21,0.965,73.1,Urban,Computer Science,Top-Tier Government College
71.55,0.883,38.4,Metro,Commerce,Mid-Tier College
53.46,0.396,53.0,Urban,Commerce,Standard College
49.45,0.797,35.5,Rural,Arts/Humanities,Standard College
77.54,0.997,68.3,Urban,Commerce,Mid-Tier College
67.13,0.871,36.9,Metro,Commerce,Top-Tier Government College
41.74,0.103,34.0,Urban,Arts/Humanities,Standard College
86.74,0.08,68.6,Urban,Computer Science,Top-Tier Government College
80.41,0.345,56.7,Metro,Computer Science,Mid-Tier College
64.14,0.489,48.4,Rural,Commerce,Standard College
63.84,0.233,30.6,Urban,Arts/Humanities,Standard College
71.7,0.158,49.1,Rural,Commerce,Top-Tier Government College
57.01,0.232,57.8,Rural,Commerce,Mid-Tier College
46.43,0.958,63.0,Urban,Arts/Humanities,Mid-Tier College
73.16,0.81,36.1,Urban,Commerce,Top-Tier Government College
44.97,0.155,59.8,Rural,Arts/Humanities,Standard College
74.25,0.43,12.9,Urban,Commerce,Top-Tier Government College
44.94,0.844,51.1,Rural,Arts/Humanities,Standard College
66.41,0.273,32.1,Urban,Computer Science,Top-Tier Government College
65.83,0.521,63.9,Metro,Computer Science,Mid-Tier College
96.52,0.289,41.5,Urban,Pre-Engineering,Top-Tier Government College
50.97,0.929,94.8,Metro,Arts/Humanities,Standard College
45.36,0.511,52.9,Rural,Arts/Humanities,Standard College
57.66,0.308,56.2,Metro,Arts/Humanities,Standard College
50.02,0.737,5.6,Metro,Arts/Humanities,Mid-Tier College
58.56,0.236,22.8,Metro,Commerce,Standard College
74.73,0.256,69.7,Metro,Computer Science,Mid-Tier College
80.35,0.926,36.5,Metro,Computer Science,Mid-Tier College
94.55,0.891,71.5,Metro,Pre-Medical,Top-Tier Government College
56.21,0.175,35.8,Metro,Commerce,Standard College
100.0,0.1,61.6,Urban,Pre-Engineering,Top-Tier Government College
99.71,0.88,34.0,Metro,Pre-Medical,Top-Tier Government College
64.74,0.432,58.2,Urban,Arts/Humanities,Standard College
33.0,0.77,62.8,Metro,Arts/Humanities,Standard College
66.67,0.349,67.3,Rural,Computer Science,Mid-Tier College
69.16,0.062,35.2,Urban,Commerce,Top-Tier Government College
33.0,0.123,24.3,Metro,Arts/Humanities,Standard College
69.18,0.466,60.5,Urban,Commerce,Mid-Tier College
64.8,0.744,54.1,Rural,Arts/Humanities,Standard College
55.43,0.912,62.8,Metro,Commerce,Mid-Tier College
78.03,0.311,26.0,Metro,Pre-Engineering,Mid-Tier College
84.09,0.421,64.3,Metro,Pre-Engineering,Mid-Tier College
60.22,0.713,46.4,Rural,Commerce,Standard College
71.67,0.691,28.7,Urban,Commerce,Mid-Tier College
57.52,0.781,40.8,Rural,Arts/Humanities,Mid-Tier College
55.41,0.748,67.7,Rural,Arts/Humanities,Mid-Tier College
69.27,0.528,53.0,Metro,Commerce,Mid-Tier College
76.37,0.757,52.6,Rural,Computer Science,Mid-Tier College
58.99,0.447,51.4,Rural,Commerce,Standard College
33.0,0.78,42.2,Metro,Arts/Humanities,Standard College
77.37,0.46,73.8,Urban,Computer Science,Mid-Tier College
42.46,0.111,50.3,Urban,Arts/Humanities,Standard College
69.95,0.81,21.5,Metro,Commerce,Mid-Tier College
96.46,0.158,21.6,Metro,Pre-Engineering,Top-Tier Government College
67.73,0.544,39.0,Rural,Commerce,Mid-Tier College
48.96,0.733,42.4,Urban,Arts/Humanities,Mid-Tier College
44.62,0.63,64.2,Urban,Arts/Humanities,Standard College
86.73,0.561,0.0,Urban,Pre-Engineering,Top-Tier Government College
67.73,0.977,64.8,Metro,Computer Science,Mid-Tier College
76.64,0.264,72.9,Metro,Computer Science,Mid-Tier College
82.82,0.501,40.5,Metro,Pre-Engineering,Mid-Tier College
67.22,0.743,74.5,Urban,Commerce,Mid-Tier College
63.06,0.981,36.6,Urban,Commerce,Standard College
52.84,0.237,46.7,Urban,Arts/Humanities,Mid-Tier College
33.0,0.034,40.2,Metro,Arts/Humanities,Standard College
43.71,0.808,81.4,Urban,Arts/Humanities,Standard College
66.89,0.645,72.6,Metro,Computer Science,Mid-Tier College
65.2,0.447,71.6,Urban,Computer Science,Mid-Tier College
74.46,0.913,27.6,Metro,Commerce,Mid-Tier College
65.97,0.978,51.9,Urban,Computer Science,Top-Tier Government College
70.55,0.373,27.6,Rural,Computer Science,Mid-Tier College
80.6,0.423,53.1,Urban,Computer Science,Mid-Tier College
53.84,0.56,61.1,Urban,Commerce,Mid-Tier College
63.41,0.386,77.1,Rural,Arts/Humanities,Mid-Tier College
42.28,0.444,47.2,Rural,Arts/Humanities,Standard College
83.57,0.236,54.6,Urban,Computer Science,Mid-Tier College
68.61,0.835,47.3,Metro,Computer Science,Mid-Tier College
75.84,0.445,28.9,Metro,Commerce,Mid-Tier College
92.68,0.905,82.9,Metro,Pre-Medical,Top-Tier Government College
85.27,0.821,57.7,Urban,Pre-Engineering,Top-Tier Government College
67.04,0.497,78.7,Metro,Commerce,Top-Tier Government College
80.6,0.201,66.8,Rural,Pre-Engineering,Mid-Tier College
45.09,0.015,24.9,Urban,Arts/Humanities,Standard College
74.94,0.28,37.8,Metro,Commerce,Mid-Tier College
70.22,0.811,63.7,Rural,Commerce,Mid-Tier College
42.11,0.554,67.1,Metro,Arts/Humanities,Standard College
89.4,0.77,63.8,Rural,Pre-Medical,Top-Tier Government College
56.73,0.099,50.2,Urban,Arts/Humanities,Mid-Tier College
78.93,0.754,67.2,Metro,Computer Science,Mid-Tier College
61.28,0.986,30.6,Urban,Commerce,Standard College
83.9,0.026,45.2,Urban,Pre-Engineering,Top-Tier Government College
89.0,0.133,27.2,Metro,Pre-Engineering,Top-Tier Government College
54.72,0.854,69.8,Urban,Arts/Humanities,Standard College
43.51,0.382,57.6,Metro,Arts/Humanities,Standard College
65.9,0.322,64.1,Urban,Commerce,Top-Tier Government College
81.58,0.85,44.8,Rural,Computer Science,Mid-Tier College
62.06,0.881,0.0,Urban,Commerce,Standard College
58.18,0.993,34.3,Urban,Commerce,Standard College
75.81,0.251,53.1,Rural,Computer Science,Mid-Tier College
33.0,0.579,51.1,Metro,Arts/Humanities,Standard College
57.36,0.099,68.3,Rural,Arts/Humanities,Mid-Tier College
45.86,0.504,72.3,Metro,Arts/Humanities,Mid-Tier College
72.72,0.838,38.9,Rural,Commerce,Mid-Tier College
56.22,0.333,65.7,Urban,Commerce,Standard College
50.16,0.512,15.5,Urban,Commerce,Standard College
62.34,0.666,63.3,Rural,Arts/Humanities,Standard College
44.51,0.071,7.9,Urban,Arts/Humanities,Standard College
67.79,0.288,60.0,Metro,Commerce,Mid-Tier College
57.08,0.367,4.5,Metro,Commerce,Standard College
61.96,0.916,59.9,Metro,Commerce,Standard College
56.53,0.696,81.8,Urban,Commerce,Standard College
82.6,0.623,46.6,Urban,Computer Science,Mid-Tier College
66.26,0.24,64.1,Rural,Commerce,Top-Tier Government College
76.39,0.854,72.2,Urban,Commerce,Top-Tier Government College
75.68,0.226,0.0,Urban,Commerce,Mid-Tier College
55.1,0.77,11.4,Rural,Commerce,Standard College
77.12,0.273,50.4,Rural,Commerce,Mid-Tier College
73.59,0.948,28.1,Metro,Commerce,Top-Tier Government College
73.02,0.054,41.8,Rural,Computer Science,Mid-Tier College
61.62,0.112,100.0,Urban,Commerce,Standard College
61.17,0.893,87.4,Urban,Commerce,Standard College
80.57,0.165,63.1,Urban,Pre-Engineering,Mid-Tier College
100.0,0.586,36.6,Urban,Pre-Medical,Top-Tier Government College
54.72,0.359,61.2,Metro,Commerce,Standard College
76.55,0.578,57.4,Urban,Computer Science,Mid-Tier College
62.14,0.614,47.1,Urban,Arts/Humanities,Standard College
80.56,0.474,83.7,Rural,Pre-Engineering,Top-Tier Government College
75.01,0.497,11.8,Metro,Commerce,Mid-Tier College
84.96,0.737,82.3,Rural,Pre-Engineering,Mid-Tier College
