intermediate_percentage,entry_test_score,field,city_tier,suggested_program,university_tier
85.43,92.22,Pre-Engineering,Rural,Engineering,Top Public University
62.44,54.48,Commerce,Urban,Business Administration,Top Public University
47.51,58.4,Commerce,Urban,Medicine (MBBS),Private University
63.41,59.9,Commerce,Urban,Social Sciences,Private University
67.38,59.72,Pre-Engineering,Urban,Computer Science,Private University
82.01,65.27,Commerce,Urban,Business Administration,Mid-Tier Public University
50.08,17.88,Commerce,Metro,Social Sciences,Private University
69.26,72.05,Commerce,Metro,Engineering,Mid-Tier Public University
67.77,80.62,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
40.74,47.56,Computer Science,Urban,Engineering,Private University
48.21,55.03,Computer Science,Rural,Social Sciences,Private University
75.0,97.75,Pre-Engineering,Urban,Engineering,Top Public University
76.43,58.18,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
82.32,90.38,Arts/Humanities,Urban,Social Sciences,Top Public University
74.01,97.65,Commerce,Rural,Engineering,Top Public University
71.93,70.08,Pre-Engineering,Urban,Engineering,Top Public University
67.84,90.88,Computer Science,Metro,Business Administration,Top Public University
84.14,80.39,Computer Science,Metro,Computer Science,Private University
53.35,46.56,Commerce,Urban,Social Sciences,Private University
63.87,41.06,Commerce,Rural,Medicine (MBBS),Private University
71.78,78.93,Pre-Engineering,Metro,Business Administration,Mid-Tier Public University
42.34,52.6,Computer Science,Rural,Social Sciences,Private University
85.66,93.08,Commerce,Rural,Business Administration,Top Public University
54.11,57.28,Commerce,Urban,Business Administration,Private University
64.92,74.33,Computer Science,Urban,Computer Science,Mid-Tier Public University
98.35,96.77,Computer Science,Metro,Computer Science,Top Public University
53.56,33.66,Computer Science,Rural,Social Sciences,Mid-Tier Public University
58.06,62.18,Computer Science,Metro,Social Sciences,Mid-Tier Public University
89.43,96.78,Commerce,Rural,Business Administration,Top Public University
49.8,83.29,Computer Science,Rural,Business Administration,Mid-Tier Public University
59.52,54.9,Arts/Humanities,Urban,Computer Science,Private University
73.74,76.03,Arts/Humanities,Metro,Engineering,Mid-Tier Public University
72.83,52.36,Computer Science,Metro,Computer Science,Private University
74.91,54.12,Commerce,Rural,Business Administration,Private University
71.56,58.21,Arts/Humanities,Rural,Engineering,Mid-Tier Public University
86.18,100.0,Commerce,Urban,Business Administration,Top Public University
81.24,83.31,Computer Science,Urban,Computer Science,Top Public University
74.93,76.21,Computer Science,Rural,Social Sciences,Private University
55.76,49.91,Pre-Medical,Rural,Computer Science,Private University
55.3,58.54,Computer Science,Urban,Computer Science,Private University
37.38,48.25,Pre-Medical,Rural,Business Administration,Private University
76.31,83.8,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
38.65,38.13,Computer Science,Urban,Business Administration,Mid-Tier Public University
79.19,81.72,Pre-Engineering,Urban,Engineering,Top Public University
93.7,98.74,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
50.08,58.82,Pre-Medical,Metro,Medicine (MBBS),Private University
55.73,60.61,Arts/Humanities,Metro,Business Administration,Mid-Tier Public University
58.86,55.86,Arts/Humanities,Rural,Computer Science,Private University
78.45,62.01,Computer Science,Urban,Computer Science,Mid-Tier Public University
53.05,54.82,Computer Science,Metro,Medicine (MBBS),Private University
64.04,64.46,Pre-Engineering,Rural,Engineering,Private University
58.15,57.11,Computer Science,Rural,Social Sciences,Mid-Tier Public University
62.23,57.21,Commerce,Urban,Engineering,Mid-Tier Public University
85.37,71.64,Computer Science,Urban,Computer Science,Mid-Tier Public University
51.54,64.18,Computer Science,Metro,Business Administration,Private University
67.08,59.02,Computer Science,Rural,Computer Science,Private University
70.07,69.06,Pre-Medical,Urban,Computer Science,Mid-Tier Public University
78.88,72.9,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
47.04,31.28,Computer Science,Metro,Engineering,Mid-Tier Public University
82.72,90.53,Arts/Humanities,Rural,Social Sciences,Top Public University
72.52,53.43,Arts/Humanities,Rural,Medicine (MBBS),Private University
79.11,78.36,Pre-Engineering,Urban,Engineering,Top Public University
67.07,61.41,Computer Science,Urban,Engineering,Private University
41.41,40.97,Computer Science,Rural,Computer Science,Mid-Tier Public University
56.29,43.54,Computer Science,Metro,Social Sciences,Mid-Tier Public University
78.27,89.79,Commerce,Urban,Business Administration,Mid-Tier Public University
66.55,81.42,Commerce,Urban,Business Administration,Mid-Tier Public University
65.27,73.01,Arts/Humanities,Urban,Social Sciences,Top Public University
92.87,86.31,Commerce,Rural,Business Administration,Mid-Tier Public University
99.03,82.33,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
65.44,89.16,Arts/Humanities,Urban,Medicine (MBBS),Mid-Tier Public University
94.99,70.75,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
36.1,20.85,Computer Science,Rural,Computer Science,Private University
35.26,38.75,Pre-Engineering,Urban,Computer Science,Private University
79.01,84.48,Pre-Medical,Urban,Medicine (MBBS),Top Public University
62.07,47.29,Pre-Medical,Metro,Business Administration,Private University
74.68,79.65,Computer Science,Urban,Business Administration,Private University
73.75,56.24,Commerce,Metro,Business Administration,Private University
64.66,72.62,Arts/Humanities,Rural,Business Administration,Private University
76.23,80.55,Computer Science,Rural,Computer Science,Mid-Tier Public University
68.26,67.67,Commerce,Rural,Social Sciences,Private University
43.02,55.55,Pre-Engineering,Urban,Social Sciences,Private University
69.28,72.87,Arts/Humanities,Rural,Engineering,Top Public University
68.78,40.38,Computer Science,Metro,Computer Science,Mid-Tier Public University
93.49,100.0,Computer Science,Metro,Computer Science,Top Public University
49.07,52.2,Pre-Engineering,Rural,Business Administration,Private University
66.25,77.7,Pre-Medical,Urban,Social Sciences,Mid-Tier Public University
59.63,56.83,Pre-Engineering,Urban,Engineering,Private University
64.01,73.17,Computer Science,Urban,Social Sciences,Private University
90.89,86.88,Commerce,Metro,Business Administration,Top Public University
71.68,77.05,Pre-Medical,Urban,Computer Science,Mid-Tier Public University
59.03,70.04,Pre-Engineering,Metro,Business Administration,Top Public University
68.31,61.96,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
77.49,70.17,Pre-Medical,Rural,Medicine (MBBS),Mid-Tier Public University
51.09,52.02,Pre-Engineering,Metro,Social Sciences,Private University
62.03,71.9,Commerce,Urban,Business Administration,Mid-Tier Public University
89.13,93.95,Commerce,Urban,Business Administration,Top Public University
78.84,81.24,Computer Science,Rural,Computer Science,Top Public University
65.33,73.98,Commerce,Metro,Engineering,Mid-Tier Public University
58.84,63.79,Pre-Engineering,Rural,Business Administration,Top Public University
63.69,51.85,Commerce,Urban,Engineering,Mid-Tier Public University
42.73,59.29,Computer Science,Rural,Medicine (MBBS),Mid-Tier Public University
80.15,95.93,Pre-Medical,Metro,Medicine (MBBS),Top Public University
71.12,84.35,Pre-Engineering,Urban,Computer Science,Private University
68.07,48.22,Pre-Medical,Metro,Business Administration,Mid-Tier Public University
46.54,61.84,Commerce,Metro,Business Administration,Mid-Tier Public University
55.28,42.74,Commerce,Metro,Business Administration,Private University
73.72,74.19,Pre-Medical,Metro,Business Administration,Top Public University
69.87,68.08,Pre-Medical,Metro,Engineering,Private University
58.55,78.61,Commerce,Metro,Computer Science,Top Public University
73.58,85.66,Arts/Humanities,Metro,Engineering,Mid-Tier Public University
80.08,80.41,Commerce,Rural,Business Administration,Top Public University
55.87,62.01,Computer Science,Metro,Computer Science,Private University
58.04,51.24,Arts/Humanities,Urban,Computer Science,Private University
52.95,40.55,Computer Science,Urban,Business Administration,Private University
48.67,56.96,Pre-Engineering,Metro,Engineering,Private University
77.95,87.64,Commerce,Rural,Business Administration,Mid-Tier Public University
73.65,74.65,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
71.08,90.4,Pre-Engineering,Urban,Computer Science,Top Public University
48.42,70.6,Commerce,Metro,Social Sciences,Top Public University
50.31,45.79,Arts/Humanities,Metro,Social Sciences,Private University
64.98,68.99,Arts/Humanities,Metro,Business Administration,Private University
59.8,66.67,Arts/Humanities,Urban,Business Administration,Private University
67.8,46.03,Pre-Engineering,Rural,Business Administration,Mid-Tier Public University
55.52,70.38,Pre-Engineering,Urban,Computer Science,Private University
75.81,88.74,Computer Science,Metro,Computer Science,Top Public University
92.99,98.85,Arts/Humanities,Metro,Social Sciences,Top Public University
89.2,90.15,Commerce,Metro,Business Administration,Top Public University
90.15,86.97,Arts/Humanities,Urban,Social Sciences,Top Public University
67.07,84.88,Arts/Humanities,Metro,Medicine (MBBS),Mid-Tier Public University
79.82,73.75,Pre-Engineering,Rural,Engineering,Private University
60.35,66.54,Computer Science,Urban,Engineering,Mid-Tier Public University
79.8,80.17,Pre-Medical,Rural,Medicine (MBBS),Mid-Tier Public University
60.32,77.17,Computer Science,Rural,Computer Science,Private University
58.67,77.67,Pre-Medical,Rural,Computer Science,Top Public University
56.33,59.36,Computer Science,Rural,Social Sciences,Private University
76.49,78.01,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
70.13,56.99,Pre-Medical,Urban,Engineering,Private University
68.79,57.54,Pre-Engineering,Metro,Computer Science,Private University
48.9,54.35,Commerce,Urban,Computer Science,Private University
68.13,74.47,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
44.39,45.81,Commerce,Urban,Computer Science,Private University
88.15,74.78,Commerce,Metro,Business Administration,Top Public University
64.03,53.49,Commerce,Metro,Social Sciences,Private University
68.92,35.11,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
64.42,62.81,Pre-Medical,Rural,Computer Science,Mid-Tier Public University
42.24,11.96,Commerce,Rural,Medicine (MBBS),Private University
45.42,22.03,Computer Science,Urban,Computer Science,Private University
65.58,53.09,Computer Science,Urban,Social Sciences,Private University
88.39,99.13,Pre-Engineering,Rural,Engineering,Top Public University
49.27,33.9,Computer Science,Metro,Business Administration,Mid-Tier Public University
55.42,61.58,Commerce,Rural,Business Administration,Mid-Tier Public University
65.29,86.99,Pre-Engineering,Rural,Computer Science,Top Public University
40.69,47.74,Pre-Engineering,Metro,Business Administration,Mid-Tier Public University
40.54,45.95,Computer Science,Urban,Engineering,Private University
59.83,43.96,Computer Science,Urban,Business Administration,Mid-Tier Public University
65.32,59.69,Arts/Humanities,Metro,Computer Science,Private University
60.13,38.5,Commerce,Metro,Computer Science,Private University
89.01,94.77,Commerce,Urban,Business Administration,Top Public University
63.54,68.42,Pre-Engineering,Rural,Social Sciences,Top Public University
71.41,86.75,Arts/Humanities,Rural,Business Administration,Private University
89.97,89.08,Commerce,Urban,Business Administration,Private University
91.56,94.0,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
42.16,30.4,Computer Science,Metro,Business Administration,Mid-Tier Public University
60.34,63.96,Pre-Engineering,Metro,Business Administration,Private University
83.44,96.65,Commerce,Urban,Business Administration,Top Public University
45.32,50.01,Commerce,Rural,Social Sciences,Private University
52.14,60.68,Computer Science,Urban,Computer Science,Private University
46.54,46.68,Pre-Medical,Rural,Engineering,Private University
45.57,50.43,Commerce,Rural,Computer Science,Private University
48.99,49.7,Arts/Humanities,Rural,Engineering,Private University
68.65,57.68,Pre-Medical,Metro,Social Sciences,Private University
85.03,83.49,Commerce,Urban,Business Administration,Top Public University
88.92,97.25,Commerce,Metro,Business Administration,Top Public University
66.18,69.77,Commerce,Metro,Social Sciences,Mid-Tier Public University
36.44,34.58,Arts/Humanities,Rural,Business Administration,Private University
65.15,54.31,Arts/Humanities,Metro,Computer Science,Private University
60.91,66.72,Computer Science,Metro,Engineering,Mid-Tier Public University
71.28,64.6,Commerce,Metro,Business Administration,Mid-Tier Public University
64.07,61.21,Commerce,Urban,Computer Science,Private University
39.06,46.31,Computer Science,Metro,Business Administration,Mid-Tier Public University
72.2,84.63,Commerce,Metro,Engineering,Top Public University
34.98,27.92,Computer Science,Metro,Business Administration,Private University
55.65,50.58,Computer Science,Urban,Medicine (MBBS),Mid-Tier Public University
70.68,79.32,Commerce,Rural,Computer Science,Mid-Tier Public University
71.26,67.56,Pre-Engineering,Metro,Business Administration,Top Public University
89.57,100.0,Computer Science,Metro,Computer Science,Private University
33.0,44.38,Computer Science,Urban,Computer Science,Private University
71.1,71.92,Commerce,Metro,Social Sciences,Top Public University
76.34,63.15,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
61.09,70.75,Commerce,Urban,Computer Science,Mid-Tier Public University
75.57,77.61,Arts/Humanities,Urban,Social Sciences,Top Public University
49.47,31.28,Commerce,Metro,Social Sciences,Private University
75.86,64.88,Commerce,Rural,Business Administration,Mid-Tier Public University
74.07,71.57,Pre-Engineering,Metro,Computer Science,Private University
51.28,58.85,Computer Science,Urban,Computer Science,Private University
56.0,31.89,Arts/Humanities,Rural,Social Sciences,Private University
63.15,61.03,Arts/Humanities,Urban,Social Sciences,Private University
56.16,57.08,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
81.67,100.0,Computer Science,Urban,Computer Science,Mid-Tier Public University
68.63,70.96,Pre-Engineering,Rural,Social Sciences,Mid-Tier Public University
85.72,87.45,Pre-Engineering,Rural,Engineering,Top Public University
83.63,82.37,Pre-Engineering,Rural,Engineering,Top Public University
66.91,70.05,Computer Science,Urban,Social Sciences,Mid-Tier Public University
63.1,69.4,Arts/Humanities,Urban,Computer Science,Mid-Tier Public University
51.8,48.27,Pre-Engineering,Urban,Social Sciences,Mid-Tier Public University
53.93,58.78,Pre-Engineering,Urban,Computer Science,Private University
53.98,75.47,Arts/Humanities,Rural,Business Administration,Mid-Tier Public University
71.22,67.38,Commerce,Urban,Computer Science,Mid-Tier Public University
52.75,59.37,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
67.18,89.23,Computer Science,Rural,Engineering,Top Public University
68.89,59.09,Commerce,Rural,Computer Science,Mid-Tier Public University
58.56,57.53,Arts/Humanities,Urban,Business Administration,Private University
63.21,54.8,Commerce,Rural,Engineering,Private University
87.68,97.13,Commerce,Rural,Business Administration,Top Public University
90.18,100.0,Arts/Humanities,Metro,Social Sciences,Top Public University
54.26,58.95,Pre-Engineering,Metro,Computer Science,Private University
63.08,62.12,Computer Science,Urban,Business Administration,Top Public University
60.42,58.87,Computer Science,Metro,Computer Science,Private University
61.86,63.49,Commerce,Urban,Social Sciences,Mid-Tier Public University
89.03,100.0,Arts/Humanities,Urban,Social Sciences,Top Public University
76.3,80.44,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
84.9,100.0,Arts/Humanities,Urban,Social Sciences,Top Public University
92.65,100.0,Commerce,Rural,Business Administration,Mid-Tier Public University
59.4,55.78,Commerce,Urban,Engineering,Private University
63.19,83.11,Commerce,Rural,Computer Science,Mid-Tier Public University
66.61,82.3,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
81.39,80.69,Computer Science,Urban,Computer Science,Mid-Tier Public University
64.64,36.91,Pre-Engineering,Urban,Computer Science,Private University
75.69,63.92,Arts/Humanities,Rural,Social Sciences,Private University
83.52,92.23,Arts/Humanities,Metro,Social Sciences,Top Public University
83.45,61.07,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
72.7,88.3,Commerce,Metro,Business Administration,Private University
54.17,43.61,Commerce,Rural,Social Sciences,Top Public University
42.69,45.39,Computer Science,Urban,Business Administration,Private University
82.82,74.46,Pre-Engineering,Metro,Engineering,Top Public University
72.85,67.36,Commerce,Metro,Business Administration,Private University
51.94,54.0,Computer Science,Metro,Business Administration,Mid-Tier Public University
58.42,43.45,Pre-Engineering,Rural,Computer Science,Mid-Tier Public University
59.27,55.51,Pre-Medical,Urban,Computer Science,Mid-Tier Public University
40.88,33.67,Commerce,Urban,Social Sciences,Private University
69.77,77.92,Commerce,Metro,Social Sciences,Top Public University
54.19,41.41,Pre-Engineering,Rural,Computer Science,Mid-Tier Public University
61.58,85.56,Commerce,Metro,Business Administration,Top Public University
77.1,96.95,Computer Science,Metro,Computer Science,Top Public University
64.57,49.26,Commerce,Urban,Computer Science,Mid-Tier Public University
74.15,58.22,Commerce,Metro,Business Administration,Top Public University
72.34,65.34,Computer Science,Rural,Business Administration,Mid-Tier Public University
66.48,69.84,Pre-Engineering,Rural,Computer Science,Mid-Tier Public University
66.73,73.18,Pre-Medical,Metro,Business Administration,Mid-Tier Public University
93.92,100.0,Commerce,Urban,Business Administration,Top Public University
63.44,72.92,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
90.42,89.04,Computer Science,Rural,Computer Science,Top Public University
52.29,37.74,Commerce,Urban,Social Sciences,Private University
76.94,65.19,Pre-Engineering,Rural,Engineering,Top Public University
68.56,63.34,Commerce,Metro,Social Sciences,Mid-Tier Public University
55.06,45.05,Computer Science,Urban,Social Sciences,Private University
33.0,60.94,Computer Science,Urban,Computer Science,Private University
89.92,84.24,Commerce,Urban,Business Administration,Top Public University
48.67,62.95,Computer Science,Metro,Social Sciences,Private University
51.55,60.18,Pre-Engineering,Urban,Social Sciences,Private University
67.94,57.63,Pre-Medical,Metro,Business Administration,Mid-Tier Public University
66.86,50.52,Pre-Engineering,Rural,Engineering,Private University
70.18,66.01,Commerce,Metro,Medicine (MBBS),Private University
62.19,65.58,Pre-Medical,Rural,Business Administration,Mid-Tier Public University
43.51,39.16,Pre-Engineering,Metro,Social Sciences,Private University
79.01,91.68,Pre-Engineering,Metro,Engineering,Top Public University
52.43,44.57,Commerce,Metro,Computer Science,Private University
69.35,61.38,Commerce,Metro,Engineering,Private University
74.62,77.66,Commerce,Urban,Business Administration,Mid-Tier Public University
83.73,100.0,Pre-Medical,Metro,Medicine (MBBS),Private University
62.73,72.27,Pre-Engineering,Metro,Business Administration,Private University
61.42,83.25,Pre-Engineering,Rural,Computer Science,Top Public University
62.5,57.34,Arts/Humanities,Rural,Engineering,Mid-Tier Public University
38.27,51.51,Pre-Engineering,Rural,Social Sciences,Private University
54.68,60.64,Pre-Medical,Rural,Computer Science,Private University
50.93,80.71,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
48.75,44.82,Commerce,Metro,Computer Science,Mid-Tier Public University
68.52,72.03,Computer Science,Rural,Medicine (MBBS),Private University
61.33,52.15,Commerce,Metro,Business Administration,Private University
89.94,77.19,Commerce,Metro,Business Administration,Mid-Tier Public University
88.33,98.42,Commerce,Urban,Business Administration,Top Public University
37.76,45.38,Commerce,Urban,Computer Science,Private University
67.84,57.58,Commerce,Rural,Computer Science,Mid-Tier Public University
50.98,63.92,Commerce,Metro,Computer Science,Private University
74.34,74.64,Commerce,Urban,Business Administration,Private University
68.37,70.33,Computer Science,Metro,Medicine (MBBS),Private University
79.96,100.0,Computer Science,Rural,Computer Science,Top Public University
70.66,82.07,Commerce,Urban,Business Administration,Top Public University
77.42,93.03,Commerce,Urban,Business Administration,Top Public University
61.52,82.36,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
33.0,39.47,Pre-Engineering,Urban,Social Sciences,Mid-Tier Public University
48.22,47.37,Pre-Engineering,Urban,Engineering,Private University
53.18,73.51,Pre-Medical,Metro,Social Sciences,Private University
58.65,81.91,Commerce,Metro,Social Sciences,Top Public University
50.82,35.9,Pre-Medical,Metro,Business Administration,Private University
90.5,83.04,Commerce,Metro,Business Administration,Mid-Tier Public University
63.48,56.72,Commerce,Metro,Social Sciences,Private University
85.44,78.48,Commerce,Rural,Business Administration,Mid-Tier Public University
60.93,79.32,Commerce,Metro,Engineering,Mid-Tier Public University
90.81,90.11,Pre-Engineering,Metro,Engineering,Top Public University
48.0,48.17,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
74.99,80.82,Commerce,Urban,Engineering,Mid-Tier Public University
46.05,56.32,Commerce,Rural,Computer Science,Mid-Tier Public University
72.63,75.68,Arts/Humanities,Metro,Engineering,Private University
89.8,97.4,Commerce,Metro,Business Administration,Private University
41.49,27.99,Arts/Humanities,Metro,Business Administration,Private University
52.92,57.09,Commerce,Urban,Social Sciences,Private University
69.68,62.91,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
63.21,65.69,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
45.46,63.77,Arts/Humanities,Urban,Business Administration,Private University
83.35,90.67,Pre-Engineering,Urban,Engineering,Top Public University
66.78,68.64,Commerce,Metro,Engineering,Private University
85.4,100.0,Commerce,Metro,Business Administration,Top Public University
70.78,94.77,Arts/Humanities,Metro,Engineering,Private University
48.7,58.41,Computer Science,Metro,Engineering,Private University
58.78,52.83,Arts/Humanities,Urban,Business Administration,Private University
86.73,100.0,Pre-Medical,Urban,Medicine (MBBS),Top Public University
45.21,48.44,Arts/Humanities,Metro,Engineering,Private University
59.01,50.54,Computer Science,Metro,Engineering,Mid-Tier Public University
75.01,83.18,Computer Science,Metro,Computer Science,Mid-Tier Public University
81.23,75.09,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
78.41,72.87,Commerce,Rural,Business Administration,Mid-Tier Public University
43.89,31.04,Commerce,Urban,Social Sciences,Private University
97.3,85.94,Arts/Humanities,Rural,Social Sciences,Top Public University
63.53,71.78,Arts/Humanities,Urban,Computer Science,Private University
66.18,36.32,Commerce,Metro,Computer Science,Private University
65.95,72.92,Arts/Humanities,Urban,Medicine (MBBS),Private University
62.52,72.32,Computer Science,Metro,Computer Science,Top Public University
51.49,59.71,Commerce,Urban,Computer Science,Private University
61.1,60.16,Commerce,Metro,Computer Science,Private University
85.84,71.18,Computer Science,Metro,Computer Science,Top Public University
45.57,44.62,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
33.0,40.15,Commerce,Urban,Computer Science,Private University
74.02,89.52,Commerce,Rural,Social Sciences,Mid-Tier Public University
71.06,71.75,Pre-Engineering,Metro,Business Administration,Mid-Tier Public University
76.92,53.06,Arts/Humanities,Rural,Social Sciences,Private University
91.91,82.29,Commerce,Rural,Business Administration,Top Public University
55.12,41.16,Pre-Engineering,Urban,Social Sciences,Private University
68.66,75.22,Commerce,Rural,Computer Science,Mid-Tier Public University
73.54,76.86,Commerce,Rural,Social Sciences,Mid-Tier Public University
84.47,84.75,Pre-Engineering,Metro,Engineering,Top Public University
81.39,77.28,Commerce,Rural,Business Administration,Mid-Tier Public University
53.35,30.18,Pre-Engineering,Metro,Business Administration,Private University
45.34,40.34,Commerce,Metro,Business Administration,Mid-Tier Public University
61.91,72.67,Commerce,Metro,Engineering,Mid-Tier Public University
41.81,27.97,Commerce,Urban,Business Administration,Private University
82.64,70.28,Commerce,Urban,Business Administration,Top Public University
60.08,41.67,Arts/Humanities,Metro,Business Administration,Private University
60.66,53.45,Pre-Medical,Urban,Engineering,Private University
52.65,54.45,Commerce,Metro,Computer Science,Private University
88.85,64.9,Pre-Engineering,Urban,Engineering,Top Public University
70.32,72.74,Commerce,Urban,Computer Science,Mid-Tier Public University
59.81,45.76,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
75.17,99.69,Commerce,Rural,Business Administration,Mid-Tier Public University
64.72,58.56,Pre-Medical,Rural,Business Administration,Mid-Tier Public University
74.9,77.47,Commerce,Urban,Computer Science,Mid-Tier Public University
85.78,63.07,Commerce,Urban,Business Administration,Private University
62.03,71.8,Pre-Engineering,Rural,Business Administration,Mid-Tier Public University
73.68,73.15,Pre-Medical,Metro,Social Sciences,Mid-Tier Public University
73.17,66.86,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
83.01,99.14,Commerce,Urban,Business Administration,Mid-Tier Public University
74.92,72.21,Pre-Medical,Urban,Engineering,Private University
66.48,60.47,Computer Science,Rural,Social Sciences,Mid-Tier Public University
56.36,72.45,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
70.42,63.76,Commerce,Urban,Computer Science,Mid-Tier Public University
50.3,56.7,Arts/Humanities,Rural,Computer Science,Private University
75.82,67.17,Pre-Engineering,Metro,Engineering,Top Public University
66.89,52.86,Computer Science,Rural,Business Administration,Private University
74.23,91.83,Computer Science,Urban,Business Administration,Top Public University
58.2,61.84,Commerce,Urban,Computer Science,Private University
53.97,65.58,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
52.3,62.94,Commerce,Metro,Business Administration,Private University
82.6,83.02,Commerce,Urban,Business Administration,Top Public University
62.71,67.98,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
62.55,56.32,Commerce,Urban,Business Administration,Mid-Tier Public University
39.16,32.76,Arts/Humanities,Rural,Social Sciences,Top Public University
65.14,69.09,Computer Science,Rural,Business Administration,Private University
33.0,10.0,Arts/Humanities,Rural,Business Administration,Private University
86.43,84.99,Computer Science,Metro,Computer Science,Top Public University
62.37,49.73,Pre-Medical,Urban,Social Sciences,Private University
66.31,65.34,Computer Science,Urban,Social Sciences,Top Public University
44.57,30.75,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
49.56,64.22,Computer Science,Rural,Business Administration,Private University
75.07,82.19,Pre-Engineering,Urban,Engineering,Top Public University
62.87,54.08,Commerce,Metro,Social Sciences,Private University
72.44,79.75,Pre-Medical,Urban,Business Administration,Private University
85.06,60.93,Commerce,Urban,Business Administration,Top Public University
75.95,57.74,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
37.52,43.77,Arts/Humanities,Urban,Social Sciences,Private University
51.23,70.72,Pre-Medical,Metro,Business Administration,Private University
48.96,47.92,Commerce,Urban,Business Administration,Private University
